doc_id,regulation_number,year,agency,coordination_cluster,status,revoked_by,title
D0001,6,2025,HakAsasiManusia,Polhukam,active,,Peraturan Menteri Hak Asasi Manusia Nomor 6 Tahun 2025
D0002,2,2025,DesaPembangunanTertinggal,Marves,active,,Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 2 Tahun 2025
D0003,1,2025,KoordinatorHukumHak,Polhukam,active,,"Peraturan Menteri Koordinator Bidang Hukum, Hak Asasi Manusia, Imigrasi, dan Pemasyarakatan Nomor 1 Tahun 2025"
D0004,8,2025,DesaPembangunanTertinggal,Marves,active,,Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 8 Tahun 2025
D0005,7,2025,Perdagangan,Perekonomian,active,,Peraturan Menteri Perdagangan Nomor 7 Tahun 2025
D0006,57,2025,Keuangan,Perekonomian,active,,Peraturan Menteri Keuangan Nomor 57 Tahun 2025
D0007,4,2025,ArsipNasional,Lainnya,active,,Peraturan Arsip Nasional Nomor 4 Tahun 2025
D0008,2,2025,Perpusnas,Lainnya,active,,Peraturan Perpustakaan Nasional Nomor 2 Tahun 2025
D0009,4,2025,SiberSandiNegara,Lainnya,active,,Peraturan Badan Siber dan Sandi Negara Nomor 4 Tahun 2025
D0010,1,2025,ArsipNasional,Lainnya,active,,Peraturan Arsip Nasional Nomor 1 Tahun 2025
